_id.dl_date,_id.dl_cs_minus_rd,dl_count
32,0,5.0
32,1,66.0
32,2,363.0
32,3,1017.0
32,4,1256.0
32,5,1150.0
32,6,845.0
32,7,557.0
32,8,271.0
32,9,187.0
32,10,109.0
32,11,85.0
32,12,66.0
32,13,52.0
32,14,29.0
32,15,26.0
32,16,14.0
32,17,8.0
32,18,12.0
32,19,6.0
32,20,3.0
32,22,4.0
32,23,4.0
32,24,2.0
32,25,3.0
32,26,2.0
32,27,3.0
32,28,3.0
32,29,3.0
32,30,2.0
32,31,3.0
32,32,1.0
32,33,2.0
32,34,1.0
33,0,94.0
33,1,178.0
33,2,612.0
33,3,1115.0
33,4,1444.0
33,5,1242.0
33,6,939.0
33,7,841.0
33,8,472.0
33,9,360.0
33,10,224.0
33,11,195.0
33,12,130.0
33,13,100.0
33,14,62.0
33,15,47.0
33,16,27.0
33,17,27.0
33,18,26.0
33,19,34.0
33,20,16.0
33,21,16.0
33,22,10.0
33,23,16.0
33,24,5.0
33,25,14.0
33,26,12.0
33,27,8.0
33,28,10.0
33,29,5.0
33,30,2.0
33,31,1.0
33,32,2.0
33,34,3.0
33,36,1.0
33,38,1.0
34,0,47.0
34,1,150.0
34,2,620.0
34,3,2011.0
34,4,2278.0
34,5,2145.0
34,6,1533.0
34,7,1256.0
34,8,757.0
34,9,489.0
34,10,308.0
34,11,219.0
34,12,165.0
34,13,123.0
34,14,90.0
34,15,59.0
34,16,41.0
34,17,30.0
34,18,20.0
34,19,15.0
34,20,14.0
34,21,17.0
34,22,16.0
34,23,7.0
34,24,8.0
34,25,9.0
34,26,8.0
34,27,6.0
34,28,9.0
34,29,9.0
34,30,8.0
34,31,6.0
34,32,3.0
34,33,6.0
34,34,6.0
34,35,1.0
35,0,31.0
35,1,110.0
35,2,661.0
35,3,1624.0
35,4,1710.0
35,5,1508.0
35,6,1040.0
35,7,934.0
35,8,488.0
35,9,367.0
35,10,224.0
35,11,172.0
35,12,106.0
35,13,84.0
35,14,71.0
35,15,44.0
35,16,34.0
35,17,27.0
35,18,26.0
35,19,20.0
35,20,6.0
35,21,16.0
35,22,7.0
35,23,6.0
35,24,5.0
35,25,7.0
35,26,7.0
35,27,7.0
35,28,2.0
35,29,3.0
35,30,3.0
35,31,1.0
35,32,2.0
35,34,1.0
36,0,67.0
36,1,462.0
36,2,752.0
36,3,1768.0
36,4,1918.0
36,5,1506.0
36,6,1067.0
36,7,758.0
36,8,598.0
36,9,288.0
36,10,174.0
36,11,140.0
36,12,71.0
36,13,63.0
36,14,51.0
36,15,38.0
36,16,30.0
36,17,22.0
36,18,23.0
36,19,14.0
36,20,14.0
36,21,10.0
36,22,15.0
36,23,8.0
36,24,12.0
36,25,3.0
36,26,2.0
36,27,5.0
36,28,2.0
36,29,5.0
36,30,3.0
36,31,5.0
36,32,2.0
36,33,1.0
37,0,73.0
37,1,131.0
37,2,766.0
37,3,1974.0
37,4,1980.0
37,5,1643.0
37,6,1150.0
37,7,840.0
37,8,434.0
37,9,252.0
37,10,138.0
37,11,106.0
37,12,70.0
37,13,82.0
37,14,54.0
37,15,47.0
37,16,36.0
37,17,22.0
37,18,16.0
37,19,13.0
37,20,13.0
37,21,9.0
37,22,7.0
37,23,7.0
37,24,7.0
37,25,4.0
37,26,5.0
37,27,3.0
37,28,5.0
37,29,3.0
37,31,1.0
37,32,1.0
38,0,55.0
38,1,179.0
38,2,621.0
38,3,1395.0
38,4,1355.0
38,5,1135.0
38,6,828.0
38,7,609.0
38,8,337.0
38,9,232.0
38,10,145.0
38,11,104.0
38,12,94.0
38,13,48.0
38,14,41.0
38,15,21.0
38,16,23.0
38,17,15.0
38,18,10.0
38,19,8.0
38,20,9.0
38,21,11.0
38,22,7.0
38,23,5.0
38,24,5.0
38,25,3.0
38,26,5.0
38,27,3.0
38,28,2.0
38,29,4.0
38,30,2.0
38,31,2.0
38,32,1.0
39,0,27.0
39,1,71.0
39,2,477.0
39,3,1311.0
39,4,1398.0
39,5,1070.0
39,6,678.0
39,7,407.0
39,8,181.0
39,9,127.0
39,10,95.0
39,11,51.0
39,12,37.0
39,13,19.0
39,14,20.0
39,15,20.0
39,16,18.0
39,17,9.0
39,18,8.0
39,19,8.0
39,20,5.0
39,21,3.0
39,22,5.0
39,25,1.0
39,26,2.0
39,28,1.0
39,29,2.0
39,30,1.0
40,0,586.0
40,1,452.0
40,2,1201.0
40,3,2523.0
40,4,2556.0
40,5,2033.0
40,6,1504.0
40,7,936.0
40,8,448.0
40,9,236.0
40,10,168.0
40,11,116.0
40,12,107.0
40,13,83.0
40,14,66.0
40,15,30.0
40,16,32.0
40,17,14.0
40,18,15.0
40,19,16.0
40,20,9.0
40,21,17.0
40,22,9.0
40,23,1.0
40,24,3.0
40,25,10.0
40,26,2.0
40,27,4.0
40,28,1.0
40,31,1.0
41,0,171.0
41,1,380.0
41,2,1036.0
41,3,2095.0
41,4,2277.0
41,5,1863.0
41,6,1299.0
41,7,943.0
41,8,450.0
41,9,324.0
41,10,221.0
41,11,121.0
41,12,78.0
41,13,66.0
41,14,51.0
41,15,29.0
41,16,18.0
41,17,25.0
41,18,18.0
41,19,22.0
41,20,17.0
41,21,10.0
41,22,14.0
41,23,7.0
41,24,8.0
41,25,4.0
41,26,6.0
41,27,1.0
42,0,65.0
42,1,215.0
42,2,999.0
42,3,1666.0
42,4,1920.0
42,5,1364.0
42,6,994.0
42,7,682.0
42,8,384.0
42,9,256.0
42,10,193.0
42,11,164.0
42,12,66.0
42,13,36.0
42,14,41.0
42,15,41.0
42,16,33.0
42,17,16.0
42,18,18.0
42,19,18.0
42,20,12.0
42,21,8.0
42,22,7.0
42,23,5.0
42,24,6.0
42,25,1.0
42,28,1.0
43,0,86.0
43,1,184.0
43,2,938.0
43,3,1743.0
43,4,1786.0
43,5,1394.0
43,6,1106.0
43,7,662.0
43,8,362.0
43,9,257.0
43,10,172.0
43,11,123.0
43,12,67.0
43,13,52.0
43,14,41.0
43,15,23.0
43,16,24.0
43,17,22.0
43,18,21.0
43,19,13.0
43,20,16.0
43,21,5.0
43,22,12.0
43,23,4.0
43,24,6.0
43,25,3.0
43,27,2.0
44,0,41.0
44,1,181.0
44,2,1390.0
44,3,1497.0
44,4,1703.0
44,5,1276.0
44,6,839.0
44,7,559.0
44,8,321.0
44,9,252.0
44,10,149.0
44,11,76.0
44,12,75.0
44,13,43.0
44,14,38.0
44,15,14.0
44,16,13.0
44,17,13.0
44,18,13.0
44,19,10.0
44,20,13.0
44,21,8.0
44,22,7.0
44,23,3.0
44,26,2.0
45,0,77.0
45,1,149.0
45,2,1058.0
45,3,1375.0
45,4,1437.0
45,5,1091.0
45,6,753.0
45,7,500.0
45,8,267.0
45,9,194.0
45,10,137.0
45,11,93.0
45,12,46.0
45,13,32.0
45,14,29.0
45,15,10.0
45,16,15.0
45,17,9.0
45,18,5.0
45,19,2.0
45,20,6.0
45,21,6.0
45,22,2.0
45,23,4.0
45,24,4.0
46,0,18.0
46,1,134.0
46,2,603.0
46,3,864.0
46,4,958.0
46,5,671.0
46,6,487.0
46,7,310.0
46,8,235.0
46,9,205.0
46,10,129.0
46,11,76.0
46,12,36.0
46,13,10.0
46,14,19.0
46,15,6.0
46,16,5.0
46,17,3.0
46,18,7.0
46,20,1.0
46,22,2.0
46,23,1.0
47,0,51.0
47,1,153.0
47,2,720.0
47,3,1593.0
47,4,1769.0
47,5,1305.0
47,6,911.0
47,7,533.0
47,8,295.0
47,9,205.0
47,10,108.0
47,11,67.0
47,12,63.0
47,13,40.0
47,14,26.0
47,15,17.0
47,16,14.0
47,17,10.0
47,18,10.0
47,19,11.0
47,20,4.0
47,21,2.0
48,0,52.0
48,1,250.0
48,2,750.0
48,3,1574.0
48,4,1631.0
48,5,1355.0
48,6,723.0
48,7,543.0
48,8,356.0
48,9,255.0
48,10,137.0
48,11,84.0
48,12,74.0
48,13,31.0
48,14,44.0
48,15,16.0
48,16,16.0
48,17,10.0
48,18,2.0
48,19,6.0
48,20,7.0
48,21,3.0
49,0,48.0
49,1,144.0
49,2,794.0
49,3,1782.0
49,4,1586.0
49,5,1397.0
49,6,691.0
49,7,484.0
49,8,257.0
49,9,190.0
49,10,113.0
49,11,83.0
49,12,53.0
49,13,36.0
49,14,47.0
49,15,28.0
49,16,6.0
49,17,12.0
49,18,9.0
49,19,1.0
49,20,2.0
50,0,36.0
50,1,189.0
50,2,956.0
50,3,2177.0
50,4,1843.0
50,5,1388.0
50,6,846.0
50,7,539.0
50,8,270.0
50,9,172.0
50,10,104.0
50,11,96.0
50,12,85.0
50,13,46.0
50,14,32.0
50,15,25.0
50,16,16.0
50,17,14.0
50,18,3.0
50,19,3.0
50,20,1.0
51,0,21.0
51,1,180.0
51,2,804.0
51,3,1415.0
51,4,1397.0
51,5,992.0
51,6,736.0
51,7,445.0
51,8,197.0
51,9,130.0
51,10,94.0
51,11,54.0
51,12,52.0
51,13,27.0
51,14,36.0
51,15,16.0
51,16,4.0
51,17,7.0
51,18,1.0
52,0,171.0
52,1,1282.0
52,2,1275.0
52,3,1703.0
52,4,1416.0
52,5,1140.0
52,6,802.0
52,7,423.0
52,8,242.0
52,9,178.0
52,10,113.0
52,11,86.0
52,12,64.0
52,13,32.0
52,14,35.0
52,15,13.0
52,16,6.0
52,17,5.0
52,18,1.0
53,0,33.0
53,1,867.0
53,2,738.0
53,3,667.0
53,4,586.0
53,5,457.0
53,6,262.0
53,7,200.0
53,8,167.0
53,9,162.0
53,10,82.0
53,11,31.0
53,12,27.0
53,13,15.0
53,14,8.0
53,16,1.0
54,0,161.0
54,1,1102.0
54,2,1368.0
54,3,1457.0
54,4,1545.0
54,5,1135.0
54,6,691.0
54,7,493.0
54,8,241.0
54,9,186.0
54,10,96.0
54,11,72.0
54,12,54.0
54,13,30.0
54,14,14.0
54,15,1.0
54,16,3.0
55,0,81.0
55,1,495.0
55,2,1024.0
55,3,1748.0
55,4,1908.0
55,5,1900.0
55,6,1194.0
55,7,752.0
55,8,479.0
55,9,270.0
55,10,142.0
55,11,71.0
55,12,48.0
55,13,15.0
55,14,12.0
55,15,6.0
55,16,1.0
56,0,176.0
56,1,626.0
56,2,590.0
56,3,1060.0
56,4,1061.0
56,5,1080.0
56,6,716.0
56,7,531.0
56,8,340.0
56,9,165.0
56,10,100.0
56,11,52.0
56,12,18.0
56,13,11.0
56,14,3.0
57,0,63.0
57,1,262.0
57,2,571.0
57,3,1070.0
57,4,1064.0
57,5,981.0
57,6,604.0
57,7,449.0
57,8,284.0
57,9,122.0
57,10,48.0
57,11,28.0
57,12,16.0
57,13,10.0
58,0,48.0
58,1,155.0
58,2,679.0
58,3,1067.0
58,4,884.0
58,5,952.0
58,6,615.0
58,7,419.0
58,8,173.0
58,9,63.0
58,10,23.0
58,11,1.0
58,12,3.0
59,0,42.0
59,1,224.0
59,2,654.0
59,3,925.0
59,4,971.0
59,5,890.0
59,6,552.0
59,7,297.0
59,8,149.0
59,9,26.0
59,10,5.0
60,0,21.0
60,1,83.0
60,2,376.0
60,3,415.0
60,4,523.0
60,5,367.0
60,6,183.0
60,7,79.0
60,8,21.0
60,9,10.0
60,10,7.0
61,0,39.0
61,1,184.0
61,2,542.0
61,3,738.0
61,4,751.0
61,5,713.0
61,6,410.0
61,7,160.0
61,8,37.0
61,9,8.0
62,0,161.0
62,1,473.0
62,2,656.0
62,3,934.0
62,4,808.0
62,5,450.0
62,6,264.0
62,7,67.0
62,8,14.0
62,9,1.0
63,0,55.0
63,1,116.0
63,2,614.0
63,3,707.0
63,4,694.0
63,5,277.0
63,6,111.0
63,7,28.0
63,8,1.0
64,0,31.0
64,1,122.0
64,2,629.0
64,3,560.0
64,4,282.0
64,5,106.0
64,6,14.0
65,0,7.0
65,1,22.0
65,2,77.0
65,3,55.0
65,4,23.0
65,5,8.0
66,0,67.0
66,1,136.0
66,2,361.0
66,3,156.0
66,4,11.0
66,5,17.0
67,0,33.0
67,1,202.0
67,2,83.0
67,3,59.0
67,4,4.0
68,0,44.0
68,1,270.0
68,2,90.0
68,3,12.0
69,0,41.0
69,1,173.0
69,2,46.0
69,3,1.0
70,0,34.0
70,1,41.0
70,2,28.0
71,0,6.0
